,שלב,המקרה,לקוח (User View),מערכת (Backend Logic),פתרון / מקרי קצה,הגדרת Done
רישום,1,אימות טלפון (OTP),מזין מספר נייד ומקבל קוד ב-SMS.,מחוללת קוד חד-פעמי ושולחת דרך ספק SMS.,"קוד לא הגיע: כפתור ""שלח שוב"" נפתח אחרי 60 שניות.",המשתמש אומת כבעלים של המספר.
,2,יצירת פרופיל בסיסי,מזין שם מלא ודואר אלקטרוני.,יצירת User_ID ושיוכו למספר הטלפון.,פורמט מייל שגוי: חסימת התקדמות והודעת שגיאה עד לתיקון.,קיים תיעוד בסיסי של המשתמש במערכת.
,3,הזנת כתובת מגורים,"מזין עיר, רחוב ומספר בית (עם השלמה אוטומטית).",בדיקת המיקום מול מפת אזורי השירות והמשלוחים הפעילים.,"אזור ללא שירות: הודעה: ""לצערנו אין עדיין שירות באיזור המגורים שלך. תוכל לבחור אזור אחר או לנסוע לאסוף את המוצרים מהסניף בעיר הסמוכה על פי הרשת שתיבחר"".",המערכת זיהתה את המיקום הגאוגרפי של המשתמש.
,4,בחירת אפשרות איסוף (באין שירות),"בוחר באפשרות ""איסוף עצמי"" מהרשתות הזמינות בעיר סמוכה.",הצגת רשימת סניפי איסוף (Pick-up points) של הרשתות המשתתפות במכרזים.,אין סניף קרוב: המערכת מציעה להירשם לרשימת המתנה לעיר המגורים המקורית.,המשתמש משויך לנקודת איסוף ספציפית במקום למסלול משלוח.
,5,ניהול כתובות (ראשי/משני),מגדיר רשימת כתובות (בית/עבודה/הורים) ומסמן אחת כראשית.,שמירת מערך כתובות תחת ה-User_ID עם דגל is_primary.,שינוי כתובת: עדכון אוטומטי של קטלוג המכרזים המוצג בהתאם לכתובת שנבחרה כרגע.,למשתמש יש רשימת מיקומים מוגדרת במערכת.
,6,הוספת אמצעי תשלום,סריקת כרטיס אשראי או הזנה ידנית.,יצירת Token מוצפן מול חברת הסליקה (PCI Compliance).,כרטיס לא נתמך: הודעת שגיאה ובקשה להזנת כרטיס חלופי (למשל אם לא מקבלים אמריקן אקספרס).,קיים אמצעי תשלום תקף ומאומת המאפשר תפיסת מסגרת.
,7,אישור משפטי (תקנון),סימון וי על הסכמה לתנאי השימוש וסעיף הנאמנות.,רישום חתימה דיגיטלית עם Timestamp וגרסת תקנון.,"דילוג על אישור: כפתור ה""סיום"" נשאר כבוי (Disabled).",המשתמש חתום משפטית על כללי המכרז והסליקה.
,8,הגדרת התראות (Push),"בוחר בלחצן ההגדרות אם לקבל התראות על ""כל מכרז"" או לפי קטגוריה.",עדכון דגלי ההתראות בפרופיל המשתמש (notify_all).,שינוי עתידי: הלחצן נשאר זמין בתפריט ההגדרות לשינוי בכל עת.,מנוע ההתראות יודע את העדפת המשתמש.
,9,בחירת תחומי עניין,"מסמן קטגוריות מועדפות (חשמל, Fresh, שירותים).",שיוך קטגוריות לפרופיל לטובת סינון ה-Dashboard והתראות.,לא בחר קטגוריה: המערכת מציגה את כל המכרזים הפעילים כברירת מחדל.,המערכת מזהה את תחומי העניין של הלקוח.
,,,,,,
ביצוע הזמנה,1,בחירת מסלול קנייה,"בוחר: סל (Fresh), פרימיום (חשמל) או שירות.",פתיחת סשן נעול למסלול הנבחר.,חסימת כפתורי הוספה ממסלולים אחרים.,המשתמש בתוך Flow אחד בלבד.
,2,בחירת כתובת למכרז,בוחר אחת מהכתובות השמורות שלו (בית/עבודה).,"הגדרת הכתובת כ""ראשית"" לסשן הנוכחי.",החלפת כתובת: רענון קטלוג ומחירים לפי האזור החדש.,ה-Auction_ID הותאם למיקום הלקוח.
,3,בחירת פריטים,"מוסיף מוצרים. צופה ב-3 המחירים (מקסימום, נוכחי, יעד).",משיכת מחירון מדרגות מהספק.,מחיר שוק נמוך מהמקסימום: התרעה אוטומטית למנהל.,המוצרים מופיעים בסל עם לוגיקת מחיר דינמית.
,4,ניהול מלאי חי,רואה אם נשארו יחידות אחרונות.,בדיקה דינמית של מלאי מול משתמשים בתהליך.,אזל המלאי: חסימת המוצר לבחירה בשידור חי (Real-time).,המשתמש לא יכול להוסיף מוצר שאינו זמין.
,5,תיאום שירות,בוחר יום (מהמפה הלוגיסטית) וחלון זמן.,"בדיקת יומן ספק ושריון ""סלוט"" זמני ל-10 דקות.","סלוט נתפס: הודעה ""הזמן נתפס, השלם הזמנה תוך X דקות"".",חלון הזמן משוריין בבסיס הנתונים.
,6,הזנת/בחירת אשראי,בוחר כרטיס שמור או מזין חדש.,יצירת Token מול חברת הסליקה (ללא שמירת פרטים).,כרטיס פג תוקף: דחייה והודעה לעדכון אמצעי תשלום.,קיים אמצעי תשלום תקף לשליחת פקודת Pre-Auth.
,7,מסך סיכום (Review),"צופה בפירוט: שם, כמות/ק""ג, ומחיר מקסימום.",חישוב סופי של תקרת החיוב (כולל משלוח).,"עדכון מחיר: אם המחיר ירד בזמן הגלישה, המערכת מעדכנת מטה.",הלקוח אישר ויזואלית את פרטי העסקה.
,8,אימות זהות,זיהוי פנים (FaceID) או סיסמה.,הפעלת Native API של המכשיר לאימות המשתמש.,כשל אימות: חסימת פקודת הסליקה ודרישה לניסיון חוזר.,התקבל אישור אבטחה ביומטרי/סיסמה.
,9,סליקה ואישור,"קבלת אישור ויזואלי: ""הצטרפת למכרז!"".",שליחת פקודת Pre-Auth על סכום המקסימום.,דחייה: שחרור מיידי של מלאי/סלוט; הודעה לעדכון כרטיס.,התקבל Token אישור; המונה עלה; נשלח Push.
,,,,,,
מעקב אחרי ההזמנה והמכרז,1,ירידת מדרגת מחיר (Price Drop),"מקבל התראת Push: ""חדשות טובות! המחיר ירד ועכשיו הסל שלך זול יותר ב-X ש""ח"".",זיהוי הגעה למדרגת כמות חדשה ועדכון ערך ה-Transaction לכל המשתתפים.,התראה אישית: המערכת מחשבת את ההפרש ספציפית לפי הכמות בסל של אותו לקוח ושולחת פוש מותאם.,נשלחה התראה לכל המשתתפים במכרז והסכום ב-Dashboard עודכן.
,2,"מעקב ""מחיר יעד"" חי",צופה ב-Dashboard ורואה כמה כסף הוא יחסוך אם המכרז יגיע למדרגה הבאה.,חישוב בזמן אמת של: (מחיר נוכחי - מחיר מדרגה הבאה) כפול כמות הפריטים בסל.,Visual Feedback: צבע המד-חום משתנה ככל שמתקרבים למדרגה הבאה כדי לייצר דחיפות.,"הלקוח מבין בדיוק כמה כסף ""מונח על השולחן"" אם יצטרפו עוד אנשים."
,3,שיתוף להוזלה (Referral),"לוחץ על ""שתף"" כדי להביא עוד אנשים ולהגיע למדרגה הבאה מהר יותר.",יצירת לינק ייחודי המשויך ל-Auction_ID של המכרז הנוכחי.,"הנעה לפעולה: הודעה בתוך האפליקציה: ""חסר רק עוד אדם אחד כדי שהסל שלך יוזל בעוד [סכום]"".",הופק לינק שיתוף והלקוח קיבל חיזוק חיובי על הפעולה.
,4,הצטרפות חבר (אימות),רואה שהמחיר ירד מיד לאחר שחבר נרשם דרכו.,שיוך החבר החדש למכרז ועדכון המונה רק לאחר אישור אשראי (Pre-Auth).,"חבר שלא שילם: המחיר לא משתנה עד שהאשראי של החבר מאושר, כדי למנוע מניפולציות.",המונה עלה והמחיר התעדכן לכל חברי המכרז.
,5,סגירת מכרז (Final Price),"מקבל פוש סופי: ""המכרז נסגר! המחיר הסופי נקבע על X. תתחדש!"".","נעילת המכרז, קיבוע המחיר הסופי וביצוע חיוב (Capture) בפועל.","חישוב סופי: המערכת מוודאת שהחיוב הוא על הסכום הכי נמוך שהושג, ולא על מחיר הגג שנתפס.","הסטטוס עבר ל""ממתין לאספקה"" והופקה חשבונית על הסכום המופחת."
,6,ביטול מצד ספק,מקבל הודעה שהספק לא יכול לספק את הסחורה (מקרה קיצון).,שחרור אוטומטי ומיידי של כל תפיסות מסגרת האשראי של כל המשתתפים.,פיצוי: שליחת התנצלות והצעה למכרז דומה או הטבה ברכישה הבאה.,מסגרות האשראי שוחררו והלקוח קיבל עדכון.
,,,,,,
"אספקה, אישור ושחרור התשלום",1,דיווח מסירה (ספק),"השליח מעדכן ""נמסר"" באפליקציית הספק.","שינוי סטטוס ל""נמסר"" והפעלת טיימר של 24 שעות.",אישור אוטומטי: אם הלקוח לא מדווח על תקלה תוך 24 שעות - הכסף עובר לספק אוטומטית.,המערכת החלה את הספירה לאחור לשחרור הכסף.
,2,תזכורת ווטסאפ (Push),"מקבל הודעת WhatsApp: ""ההזמנה הגיעה! לחץ כאן לאישור וצפייה בחיסכון שלך"".",שליחת הודעה אוטומטית דרך API של WhatsApp ברגע דיווח המסירה.,הנעה לפעולה: הלינק מוביל ישירות למסך האישור באפליקציה כדי לקצר תהליכים.,הודעת הווטסאפ נשלחה בהצלחה ללקוח.
,3,אישור וסיכום חיסכון,"מאשר קבלה ורואה באפליקציה: ""חסכת [X] ש""ח במכרז הזה!"".",חישוב: (מחיר מקסימום - מחיר סופי) פחות העמלה שנגבתה לטובת המיזם.,שקיפות: הצגת החיסכון הנטו שנשאר אצל הלקוח בכיס לאחר כל העלויות.,הלקוח אישר את הקבלה והחיסכון תועד בפרופיל שלו.
,4,דיווח על תקלה,"לוחץ על ""יש בעיה"" ומפרט את התקלה (מוצר פגום/חסר).",הקפאת (Freeze) העברת הכסף והתראה מיידית לספק.,דד-ליין לספק: הספק חייב להגיב בתוך 24 שעות. אם לא הגיב - המערכת רשאית לזכות את הלקוח אוטומטית.,הכסף נעול בנאמנות ונפתח כרטיס בוררות.
,5,תגובת ספק לתקלה,הספק מציע פתרון (החלפה/זיכוי/תיקון) בתוך 24 שעות.,עדכון הלקוח בפתרון המוצע וקבלת אישורו.,"ספק לא ענה: המנהל (אתה) מקבל התראה ""ספק חרג מזמן תגובה"" כדי להכריע ידנית לטובת הלקוח.",התקבל מענה מהספק בתוך מסגרת הזמן המוגדרת.
,6,שחרור תשלום סופי,"עברו 24 שעות ללא תקלה, או שהלקוח אישר ידנית.",העברת הכסף (פחות העמלה שלך) לחשבון הספק.,חיוב עמלה: העמלה שלך מופרשת אוטומטית לחשבון המיזם בנפרד מהתשלום לספק.,הכסף הופקד בחשבון הספק והעסקה נסגרה.